id,title_bg,title_en,place_id,historical_archive_item_id,match_quality,then_url,now_url,then_license,now_license,source_ids,provenance_urls,editorial_status
then-now-philippopolis-street-1878,Улица във Филипопол през януари 1878 г. — тогава/сега,"Street in Philippopolis, January 1878 — then/now",place-old-town,archive-photo-philippopolis-street-1878,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:0530_%D0%92%D0%B8%D0%B4_%D0%BD%D0%B0_%D0%BE%D0%B4%D0%BD%D1%83_%D0%B8%D0%B7_%D1%83%D0%BB%D0%B8%D1%86_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D0%BF%D0%BE%D0%BF%D0%BE%D0%BB%D1%8F_(%D0%9F%D0%BB%D0%BE%D0%B2%D0%B4%D0%B8%D0%B2%D0%B0)%2C_%D1%8F%D0%BD%D0%B2%D0%B0%D1%80%D1%8C_1878.jpg,https://commons.wikimedia.org/wiki/File:Renovated_house_in_plovdiv_old_town.jpg,Public domain,CC BY 2.0,source-0530-vid-na-odnu-iz-ulits-filippopolya-plovdiva-yanvar-1878-jpg|source-wikimedia-commons-renovated-house-in-plovdiv-old-town-jpg,https://commons.wikimedia.org/wiki/File:0530_%D0%92%D0%B8%D0%B4_%D0%BD%D0%B0_%D0%BE%D0%B4%D0%BD%D1%83_%D0%B8%D0%B7_%D1%83%D0%BB%D0%B8%D1%86_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D0%BF%D0%BE%D0%BF%D0%BE%D0%BB%D1%8F_(%D0%9F%D0%BB%D0%BE%D0%B2%D0%B4%D0%B8%D0%B2%D0%B0)%2C_%D1%8F%D0%BD%D0%B2%D0%B0%D1%80%D1%8C_1878.jpg|https://commons.wikimedia.org/wiki/File:Renovated_house_in_plovdiv_old_town.jpg,needs_editorial_signoff
then-now-plovdiv-station-around-1880,Железопътната гара на Пловдив около 1880 г. — тогава/сега,Plovdiv railway station around 1880 — then/now,place-plovdiv-central-railway-station-q7205164,archive-photo-plovdiv-station-around-1880,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Plovdiv_Train_Station_Around_1880.jpg,https://commons.wikimedia.org/wiki/File:Plovdiv_Central_railway_station_platform_side%2C_2007.JPG,Public domain,CC BY-SA 4.0,source-plovdiv-train-station-around-1880-jpg|source-wikimedia-commons-plovdiv-central-railway-station-platform-side-2007-jpg,https://commons.wikimedia.org/wiki/File:Plovdiv_Train_Station_Around_1880.jpg|https://commons.wikimedia.org/wiki/File:Plovdiv_Central_railway_station_platform_side%2C_2007.JPG,needs_editorial_signoff
then-now-bahnhof-von-plowdiw,Пощенска картичка „Bahnhof von Plowdiw“ — тогава/сега,Postcard: Bahnhof von Plowdiw — then/now,place-plovdiv-central-railway-station-q7205164,archive-postcard-bahnhof-von-plowdiw,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Bahnhof_von_Plowdiw.jpg,https://commons.wikimedia.org/wiki/File:Plovdiv_Central_railway_station_platform_side%2C_2007.JPG,Public domain,CC BY-SA 4.0,source-bahnhof-von-plowdiw-jpg|source-wikimedia-commons-plovdiv-central-railway-station-platform-side-2007-jpg,https://commons.wikimedia.org/wiki/File:Bahnhof_von_Plowdiw.jpg|https://commons.wikimedia.org/wiki/File:Plovdiv_Central_railway_station_platform_side%2C_2007.JPG,needs_editorial_signoff
then-now-plovdiv-karastoyanov-c1908,Пловдив във фотография на Иван Карастоянов — тогава/сега,Plovdiv photographed by Ivan Karastoyanov — then/now,place-plovdiv-city,archive-photo-plovdiv-karastoyanov-c1908,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Plovdiv_Ivan_Karastoyanov.jpg,https://commons.wikimedia.org/wiki/File:Plovdiv_view.jpg,Public domain,CC BY-SA 2.0,source-plovdiv-ivan-karastoyanov-jpg|source-wikimedia-commons-plovdiv-view-jpg,https://commons.wikimedia.org/wiki/File:Plovdiv_Ivan_Karastoyanov.jpg|https://commons.wikimedia.org/wiki/File:Plovdiv_view.jpg,needs_editorial_signoff
then-now-dzhambaztepe-1892,Джамбаз тепе през 1892 г. — тогава/сега,Dzhambaz Tepe in 1892 — then/now,place-dzhambaz-hill-in-plovdiv-q12277962,archive-photo-dzhambaztepe-1892,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Dzhambaztepe_1892.jpg,https://commons.wikimedia.org/wiki/File:Dzhambaztepe_1892.jpg,Public domain,Public domain,source-wikimedia-commons-dzhambaztepe-1892-jpg,https://commons.wikimedia.org/wiki/File:Dzhambaztepe_1892.jpg|https://commons.wikimedia.org/wiki/File:Dzhambaztepe_1892.jpg,needs_editorial_signoff
then-now-ottoman-clock-tower-1936,Османската часовникова кула на Сахат тепе — тогава/сега,Ottoman clock tower on Sahat Tepe — then/now,place-sahat-hill-in-plovdiv-q12293012,archive-photo-ottoman-clock-tower-1936,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Ottoman_clock_tower_in_Plovdiv_on_old_photo.jpg,https://commons.wikimedia.org/wiki/File:Tower_from_old_town_plovdiv.JPG,Public domain,CC BY-SA 3.0,source-ottoman-clock-tower-in-plovdiv-on-old-photo-jpg|source-wikimedia-commons-tower-from-old-town-plovdiv-jpg,https://commons.wikimedia.org/wiki/File:Ottoman_clock_tower_in_Plovdiv_on_old_photo.jpg|https://commons.wikimedia.org/wiki/File:Tower_from_old_town_plovdiv.JPG,needs_editorial_signoff
then-now-ottoman-clock-tower,Пощенска картичка с часовниковата кула — тогава/сега,Postcard of the clock tower — then/now,place-sahat-hill-in-plovdiv-q12293012,archive-postcard-ottoman-clock-tower,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Ottoman_clock_tower_in_Plovdiv_on_old_postcard.jpg,https://commons.wikimedia.org/wiki/File:Tower_from_old_town_plovdiv.JPG,Public domain,CC BY-SA 3.0,source-ottoman-clock-tower-in-plovdiv-on-old-postcard-jpg|source-wikimedia-commons-tower-from-old-town-plovdiv-jpg,https://commons.wikimedia.org/wiki/File:Ottoman_clock_tower_in_Plovdiv_on_old_postcard.jpg|https://commons.wikimedia.org/wiki/File:Tower_from_old_town_plovdiv.JPG,needs_editorial_signoff
then-now-sahat-hill-1,Сахат тепе на стара пощенска картичка — тогава/сега,Sahat Hill on an old postcard — then/now,place-sahat-hill-in-plovdiv-q12293012,archive-postcard-sahat-hill-1,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Sahat_Hill_in_Plovdiv_on_old_postcard_1.jpg,https://commons.wikimedia.org/wiki/File:Tower_from_old_town_plovdiv.JPG,Public domain,CC BY-SA 3.0,source-sahat-hill-in-plovdiv-on-old-postcard-1-jpg|source-wikimedia-commons-tower-from-old-town-plovdiv-jpg,https://commons.wikimedia.org/wiki/File:Sahat_Hill_in_Plovdiv_on_old_postcard_1.jpg|https://commons.wikimedia.org/wiki/File:Tower_from_old_town_plovdiv.JPG,needs_editorial_signoff
then-now-dzhumaya-square-1,Площад Джумая на стара картичка — тогава/сега,Dzhumaya Square on an old postcard — then/now,place-dzhumaya-square-q59368698,archive-postcard-dzhumaya-square-1,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Dzhumaya_square_on_old_postcard.jpg,https://commons.wikimedia.org/wiki/File:Plovdiv_-_Bulgarien_019.JPG,Public domain,CC BY-SA 3.0,source-dzhumaya-square-on-old-postcard-jpg|source-wikimedia-commons-plovdiv-bulgarien-019-jpg,https://commons.wikimedia.org/wiki/File:Dzhumaya_square_on_old_postcard.jpg|https://commons.wikimedia.org/wiki/File:Plovdiv_-_Bulgarien_019.JPG,needs_editorial_signoff
then-now-dzhumaya-square-2,Площад Джумая - картичка 2 — тогава/сега,Dzhumaya Square - postcard 2 — then/now,place-dzhumaya-square-q59368698,archive-postcard-dzhumaya-square-2,same_place_approximate_viewpoint,https://commons.wikimedia.org/wiki/File:Dzhumaya_square_on_old_postcard_2.jpg,https://commons.wikimedia.org/wiki/File:Plovdiv_-_Bulgarien_019.JPG,Public domain,CC BY-SA 3.0,source-dzhumaya-square-on-old-postcard-2-jpg|source-wikimedia-commons-plovdiv-bulgarien-019-jpg,https://commons.wikimedia.org/wiki/File:Dzhumaya_square_on_old_postcard_2.jpg|https://commons.wikimedia.org/wiki/File:Plovdiv_-_Bulgarien_019.JPG,needs_editorial_signoff
